Issue Key,Round Number,Round Kappa,Crowd Estimate,Crowd Justification,Auto Quality Class
GORA-622,1,0.74,4,SOME URGENT WORK,D
GORA-622,1,0.74,20,This may involve making some code changes to shorten the group id so that build may pass.,B
GORA-622,1,0.74,1,Looks to just require an upgrade to recent plugin versions and a setting that we're on darwin vs linux.,D
GORA-622,1,0.74,4,Need to review and test the Pull Request that already exists to patch the issue,B
GORA-622,2,0.67,40,"One has to make necessary changes in the project code, pull request issue and overcome bull ID fix.",B
GORA-622,2,0.67,8,Testing may require more time as change has already been done.,B
GORA-622,2,0.67,20,I think this will take half a week for one person to research and test. It sounds like the issue has been experienced in an existing pull request so this person will need to test their solution in this environment and make adjustments as needed.,B
GORA-622,2,0.67,8,no,D
GORA-622,2,0.67,80,GOOD,D
GORA-622,2,0.67,8,Probably this is a configuration change. Or need to fix the pull request issue in the code and test it,B
GORA-622,2,0.67,1,"Sounds like all you have to do is use posix and that solves the issue, and it's been added already anyway, just need to do the pull request and make sure everything compiles.",B
GORA-622,2,0.67,20,"This will take a couple of days mainly to identify the issue (from the pull request), fix is likely to be minor",C
GORA-622,3,0.76,20,Code fix required to accommodate group id length to run maven/jenkin deployment successfully for the plug in support,B
GORA-622,3,0.76,8,GOOD EXPERIENCE,D
GORA-622,3,0.76,20,Testing may require more time as change has already been done.,B
GORA-622,3,0.76,4,"The workaround itself - 1 hour with minor tests. Working around ID's too big often has known fixes.
Fixing stuff that the workaround broke - 2 or three hours.",B
GORA-622,3,0.76,40,"I think a week is enough, it's a complicated job, but who knows no difficulties
",C
GORA-622,3,0.76,8,pinpointing to see there are no issues and making sure it is not affecting any other components by chance,C
GORA-622,3,0.76,8,Given fixes are known. Just have to implement and copy new data,B
GORA-622,3,0.76,20,This issue really boils down to how long it will take to execute the pull request and using posix make sure that everything compiles correctly without any errors. This could take up to half a week depending on the skill of the worker on the issue.,B
AMBARI-24551,1,0.67,40,"Requires refactoring of how the API requests are designed to be called , may require considerable code changes and testing effort.",B
AMBARI-24551,1,0.67,4,"I think something like this would only take an hour to fix, but I always like to give more time in case the problem ends up being more complex then you think. The problem is probably a simple typo",B
AMBARI-24551,1,0.67,4,"This is a quick fix, but the time required to find the specific documentation for the problem in Google is what the main problem would be. This might take a while, including some forum posts.",B
AMBARI-24551,1,0.67,20,I got to gather information I'm going to need when making changes,B
AMBARI-24551,1,0.67,8,"Consider asking to work on this issue to someone who knows how the API are built. Reading the logs will explain the reason why the requests are sent, and a day should be enough to fix the issue.",C
AMBARI-24551,1,0.67,20,Analyse server/client side scripting and necessary code change required to kill active or passive request at server side so that redundant and undoing/redoing issues can be resolved.,B
AMBARI-24551,2,0.81,20,"Potentially very quick depend on the number of calls and places this API(s) are used in, the time required would likely scale with how heavily the API is used and how big the project is and the amount of refactoring per instance required.",B
AMBARI-24551,2,0.81,20,"May require considerable code refactoring keeping in view , API calls need to revisited.",B
AMBARI-24551,2,0.81,8,Implement security code changes at Client side API to restrict or block history details at end user.,B
AMBARI-24551,2,0.81,20,Need to add more logging to figure out the duplicate requests being sent. do code changes to prevent it and test them,B
AMBARI-24551,2,0.81,1,good,D
AMBARI-24551,2,0.81,40,"Might require refactoring how API requests are submitted, depending how this currently has been implemented, it might require considerable code changes and testing effort.
",B
BXMSDOC-482,1,0.79,20,GOOD,D
BXMSDOC-482,1,0.79,4,"Updating the documentation (by removing the ""Initiator"" role or mentioning that it is not fully implemented yet) will need 1 - 2 hours for a person who is familiar with it. Otherwise it might take a full day.",B
BXMSDOC-482,1,0.79,20,"Documentation is pretty long . For this task a search function can be used, but who does it needs to be precise in order to remove the mentions.",C
BXMSDOC-482,1,0.79,8,"This involves removing references from documentations about a not (fully) implemented feature.
Should not take much effort since only documentation needs to be modified.",B
BXMSDOC-482,1,0.79,4,Seems like the biggest part of this task require to modify the project's documentation. 2-3 hours / half a day should be enough if made by someone with a general knowledge of the project.,B
BXMSDOC-482,1,0.79,1,Since removing the initiator role from the documentations and make it fully implemented and this may require a hour's time.,B
BXMSDOC-482,1,0.79,80,NOTHING,D
BXMSDOC-482,1,0.79,8,A day this is a simple error.,C
BXMSDOC-482,1,0.79,1,nice,D
BXMSDOC-482,1,0.79,1,If it's just a single document that needs to be updated it should take someone a handful of minutes to update the documentation to remove references to a role that doesn't exist.,B
JBTIS-1031,1,0.48,80,"Well to add a handle to a prompt, it requires deliberate and comprehensive programming. A lot of coding will be needed to complete this task. It requires precise coding that will do the task.",B
JBTIS-1031,1,0.48,40,"Have to make sure that pulling the bundle down removes it from the queue, you want to ensure it loads properly if it doesn't then figure out if we attempt to re-download the bundle or show error.",D
JBTIS-1031,1,0.48,1,good,D
JBTIS-1031,1,0.48,8,"sounds like an issue with test running specific machines, the issue description sounds like the solution was trivial",B
JBTIS-1031,1,0.48,4,Removing a bundle and adding handle from the server would require a day or less time. This task is a bit difficult so it will require half a daytime.,B
JBTIS-1031,1,0.48,80,This task a long and would require more amount of time. Adding a prompt is also a bit long task. This task requires proper justification. This is a FIx Deployment test.,B
JBTIS-1031,1,0.48,4,"Adding a handle won't take all day, and it should take no more than half the day.",C
JBTIS-1031,1,0.48,1,"Based on the comments this issue looks to have already been resolved.
",B
JBTIS-1031,2,0.76,8,I estimate a day to correct the problem by one developer. Most of the time would be spent determining the cause of the problem. The fix should be relatively easy. Testing should be performed by the developer prior to submitting the fix for release.,A
JBTIS-1031,2,0.76,8,"It requires to add a handle for the prompt when one tries to remove a bundle from server , this may be a simple code fix hence one day should be enough.",B
JBTIS-1031,2,0.76,4,code the event handler for prompts...Check the output while prompt occur,D
JBTIS-1031,2,0.76,8,"It most definitely does not require more than one person, but does require extensive focus",C
JBTIS-1031,2,0.76,8,NOTHING,D
JBTIS-1031,2,0.76,1,time to test and make sure it runs smooth,B
JBTIS-1031,2,0.76,8,From the comments it appears the issue has been resolved so it would just be a matter of deploying and testing the fix.,B
JBTIS-1031,2,0.76,8,"This is a trivial modification to an existing codebase. Patch and test should not take more than a day, provided familiarity with the codebase and that the existing codebase is clean.",B
JBTIS-1031,2,0.76,4,"The issue seems really easy to solve, just adding a handle for the prompt. The solution sounds fairly easy but it can also take a couple of hours.",B
ENTMQBR-1807,1,0.79,20,"The change is simple , but the volume of changes (number of test affected) may be huge and requires those tests to be re-run and ensure that they are still passing.",B
ENTMQBR-1807,1,0.79,1,"Simple script using regex
",D
ENTMQBR-1807,1,0.79,4,"This issue requires the use of a program like JBoss, which can be installed and patched in Windows 10. From there, start a server with the program and run the code.",B
ENTMQBR-1807,1,0.79,20,"Although its not very create how the ""create table"" script is applied before tests. 
To fix the table names to upper case, simple search for the ""CREATE TABLE"" should tell how many files/instances needs to be changed. Change itself is simple. 
Considering an application is complex, and requires a bit of testing, half a week is required.
",B
ENTMQBR-1807,1,0.79,8,need to set to upper case table names in tests,B
ENTMQBR-1807,1,0.79,8,"Depending on the level of expertise of the developer, I estimate it should take less than a day to resolve this issue, but as a generous estimate I suggest one full day in order to allow for double-checking and revisions as needed.",C
ENTMQBR-1807,1,0.79,8,"*change the table names 
* More time for smoke testing required for dependencies ",B
FUSEDOC-861,1,0.79,4,First I will think on which process i will follow and then starts to coding and develop and test,B
FUSEDOC-861,1,0.79,4,ok,D
FUSEDOC-861,1,0.79,8,None of the changes are complicated and are normal syntax errors you would expect.,B
FUSEDOC-861,1,0.79,4,"Fixes will take a couple hours, allow time for testing and documentation",B
FUSEDOC-861,1,0.79,8,changing the code to accomodate editing or deleting the profile.,B
FUSEDOC-861,1,0.79,8,no,D
FUSEDOC-861,1,0.79,20,"With google it can cut some time, but it appears that the team is already aware of the issue and what is causing it, so probably the most part of the time they will spent in the coding part of the problem and not on the ""knowing what is wrong""",B
BXMSDOC-368,1,0.67,20,"To fix the issue, someone just needs to add a note to the already existing document that the integration pack is not supported. Most of the time will be finding where to add the note and getting approval from everyone else after a review.",B
BXMSDOC-368,1,0.67,4,Updating the documents to add the note about integration pack not being supported.,D
BXMSDOC-368,1,0.67,4,I am ready to sumbit,D
BXMSDOC-368,1,0.67,8,I would rewrite the Integration pack to be compatible with B*MS 6.1,D
BXMSDOC-368,1,0.67,40,I would have to get more info but a week at minimum until then. I will have to contact my team as well as the developers team to find out more about any updates or changes to supporting software.,B
BXMSDOC-368,1,0.67,40,Went with my gut,D
BXMSDOC-368,1,0.67,80,"YES , OBVIOUSLY",D
BXMSDOC-368,1,0.67,8,Need to change the code to display or intimate the end user that policy does not support camel integration pack,B
BXMSDOC-368,1,0.67,1,Just display a notification if integration pack is not supported,D
BXMSDOC-368,1,0.67,1,"From what I understand, the issue is that the document does not contain a memo about supporting ""integration pack"". It only mentions to add a note to the documentation, which should only take a few minutes to update.",B
BXMSDOC-368,1,0.67,4,"Each individual lays a card face down representing their estimate for the story. Units used vary - they can be days duration, ideal days or story points. During discussion, numbers must not be mentioned at all in relation to feature size to avoid anchoring.
Everyone calls their cards simultaneously by turning them over.
People with high estimates and low estimates are given a soap box to offer their justification for their estimate and then discussion continues.
Repeat the estimation process until a consensus is reached. The developer who was likely to own the deliverable has a large portion of the ""consensus vote"", although the Moderator can negotiate the consensus.",D
BXMSDOC-368,1,0.67,1,good,D
BXMSDOC-368,1,0.67,8,"At first I thought this was a difficult problem but we actually had done one very similar in class, so in my estimate a person with my knowledge (without knowing the problem before) would need almost a day to figure it out, or maybe just an afternoon",B
BXMSDOC-368,2,0.67,1,It seems to be a simple case of updating the memo too make users aware that the integration pack is not supported,C
BXMSDOC-368,2,0.67,20,"This sounds like a simple task, but running down how or why there is no support available for the Integration Pack requires some consultation among developers and program managers. Given that developers, tech writers, and others may not return calls or answer messaging regarding this lack of support, so to confirm that the company and staff are all on the same page - and avoid pesky, time consuming support calls, it will take a little time for one person.",B
BXMSDOC-368,2,0.67,1,"The issue only asks that a note be left regarding the problem. It won't take long to write a memo. In fact, it should only take a minute or two to write the required note.",B
BXMSDOC-368,2,0.67,8,Make the necessary code changes to display a message to the user for not supporting the integration pack,B
BXMSDOC-368,2,0.67,80,nice,D
BXMSDOC-368,2,0.67,40,Get in touch with team and developers team to change updates and developing software,B
BXMSDOC-368,2,0.67,40,"I estimate a week of analysis for one person, dedicating 2 hours a day to better understand the problem and to draw up a technical opinion on the situation.",A
BXMSDOC-368,2,0.67,8,Depending on whether they are only going to make a note or if they actually plan on working on changing the integration pack is the difference between a full day and a couple hours on this one.,B
BXMSDOC-368,3,0.67,1,Adding a note is quite easy so It might take an hour to solve the problem depending on time availability. The problem asks for a note so thats the lowest estimate in the table.,B
BXMSDOC-368,3,0.67,20,"It should take about half a week to make the necessary adjustments to the code and test it , in order to display a message to the user for not supporting the integration pack",B
BXMSDOC-368,3,0.67,1,This is literally just requesting a memo. No fix necessary. I don't think this will take more than an hour.,C
BXMSDOC-368,3,0.67,8,Make a few changes to code to display a message,B
BXMSDOC-368,3,0.67,8,This requires updating the documentation a day should be enough taking into account review process and publishing the document.,C
BXMSDOC-368,3,0.67,4,Per the Issues comments it's an easy and quick fix.,C
BXMSDOC-368,3,0.67,80,nice,D
BXMSDOC-368,3,0.67,1,The issue only asks that a note be left regarding the problem. It won't take long to write.,B
BXMSDOC-368,3,0.67,8,Need to contact team and make code changes.,B
IGNITE-10890,1,0.76,80,"This may require significant code changes and refactoring the existing code base, also this requires a lot of testing since we will be potentially touching a lot of areas.",B
IGNITE-10890,1,0.76,8,it was good software to developed apps,D
IGNITE-10890,1,0.76,40,"updating the code should not take long, performing tests thoroughly will define how successful the change is",B
IGNITE-10890,1,0.76,20,"Schedule one day to write up necessary docs, write code, test, and schedule execution. Execution should take place on a different day during downtime, and the following day should be available for cleanup and followup -- proof of good results and complete documentation.",B
IGNITE-10890,1,0.76,20,To remove all the legacy code in the API and unit test working as expected,B
IGNITE-10890,1,0.76,4,good,D
IGNITE-10890,1,0.76,20,"Development effort will be low. Considering Unit Tests it will be half a weeks efforts. 
Depending on the amount of the functionality testing efforts will be more. ",B
HIVE-21462,1,0.67,20,GOOD,D
HIVE-21462,1,0.67,8,"Developing the Script that drops constraints and recreating it might not take time.
The testing effort will be more in this case. 
Some databases simply allows disabling constraints instead of dropping them .
Also renaming a existing column and adding new column and copying data from old column and then dropping a old column might be possible alternative solution. 
so figuring out a most performant approach will require some trials and effort could be a day or two.",B
HIVE-21462,1,0.67,4,"Any operations to change its data type will lead to below error. ... which makes things simple ,by dropping the clustered index at final stage and also ... If you already have data in the pk_column make sure the source and target ... This script assumes there aren't any non-primary key constraints",B
HIVE-21462,1,0.67,40,"You need to update the Metastore scripts to Drop the Constraints, Update Data Type and Reapply the constraints. We will need to test installation and upgrade of the servers so would require at least a week for validation based on the complexity of the solutions.",B
HIVE-21462,1,0.67,4,Couple hours to write and test code then QA in a sandbox.,B
HIVE-21462,1,0.67,4,"* Drop the constraints  
* Change the SP
* check other dependencies ",B
HIVE-21462,2,0.67,40,"one week for one person         update the Metastore scripts .( ie.e fix the code itself)
then some time to write and test code .  if multiple sources are using the code, it is best to check compatibility with those services. 
then QA in a sandbox. ",B
HIVE-21462,2,0.67,40,"You need to update the Metastore scripts to Drop the Constraints, Update Data Type and Reapply the constraints. We will need to test installation and upgrade of the servers so would require at least a week for validation based on the complexity of the solutions.
",B
HIVE-21462,2,0.67,40,Should be a one man job. Previous jobs of this type have usually been 3 days one person. But you want them to fixed the first time so give them the week they will not be rushed and fix it properly,B
HIVE-21462,2,0.67,8,It is a small and common issue in SQL so it will not require much research and time to fix,C
HIVE-21462,2,0.67,80,"Is an operation that require a lot of concentration and work to do, without considering all the validation time that a person will take to update data and servers.",B
HIVE-21462,2,0.67,20,"You need to update the Metastore scripts to eliminate he Constraints, Data Type and Reapply the constraints will need updated. We will need to test installation and upgrade of the servers so would require at least a week for validation based on the complexity of the solutions.",B
HIVE-21462,2,0.67,4,"Any operations to change its data type will lead to below error. ... which makes things simple ,by dropping the clustered index at final stage and also ... If you already have data in the pk_column make sure the source and target ... This script assumes there aren't any non-primary key constraints",B
HIVE-21462,2,0.74,40,Updating the metastore scripts and then implementing the server changes and upgrades would likely take a few days + a few extra days to fully test the stability of the servers. 1 week sounds about reasonable.,B
HIVE-21462,2,0.74,4,Since upgrading could be done without changing the index or column it requires half a day to resolve,B
HIVE-21462,2,0.74,20,Analyse impact of data type changes from UI end. Fix the any data compatibility by the changing the data type of the column. Verify the existing data intact or need modifications.,B
HIVE-21462,2,0.74,40,A week is necesary to be sure all the code will work fine,C
HIVE-21462,2,0.74,1,It is not a hard project,C
HIVE-21462,2,0.74,8,A couple hours to write and test code then QA in a sandbox.,B
HIVE-21462,2,0.74,20,The scripts will need to be updated to drop and recreate the indexes. A couple days of testing may be required to validate nominal performance.,B
HIVE-21462,3,0.67,20,"It totally depends on the interconnectedness of the data that needs to be reconstrained. A simple case would be on a few hours, but if it is a simple case, why did it fail in the first place.",B
HIVE-21462,3,0.67,20,Need to make sure the data is being input properly and read properly from the database and double check how it's being done,C
HIVE-21462,3,0.67,40,A lot of work has to be done concerning the constraint and the index. This will take at least a couple of days if not a week or two to complete. The problem is complicated and time consuming.,B
HIVE-21462,3,0.67,4,"Changing one column should not take a lot of time to implement. Depending on the complexity of the database and how many indexes or constraints are dependent on that column, but assuming a reasonably sized database with normal complexity, it is probably only one or two indexes or constraints that are affected. Once that is determined, it's simply a matter of scripting out the drop/recreates before and after the column rename. It's also a change that should be relatively easy to test in development and vet in Q&A.",B
HIVE-21462,3,0.67,1,Can easily be done manually. Drop constraint/index. Change data type. Re-create index. Done,B
HIVE-21462,3,0.67,8,"Any operations to change its data type will lead to below error. ... which makes things simple ,by dropping the clustered index at final stage and also ... If you already have data in the pk_column make sure the source and target ... This script assumes there aren't any non-primary key constraints",B
JBEAP-5152,1,0.79,40,Seems easy enough to do in one week.,C
JBEAP-5152,1,0.79,20,"This would likely take me a bit of time to track down. Additionally, I would also need to parallel code this.",B
JBEAP-5152,1,0.79,40,good,D
JBEAP-5152,1,0.79,8,To enable and make security logger configuration code changes and unit test for sample transaction to verify Security logger implemented successfully,B
JBEAP-5152,1,0.79,8,This involves modifying the log messages so I don't think it should take much time assuming the log messages are coming from something like a resource file and not scattered all over the application.,B
JBEAP-5152,1,0.79,4,"i believe there will be a lengthy debugging process, but i think it can be resolved within a days time with the appropriate people working on the resolution.",C
JBEAP-5152,1,0.79,20,"Its about configuring  SECURITY_LOGGER and setting a logging level to TRACE.
Setting root logger to TRACE will slow down the SSO server.
So bit of testing is required to ensure the SECURITY_LOGGER is only at TRACE level and producing proper logging without impacting non SECURITY_LOGGER log level. 
Also effort will be required to re-produce the scenario that actually results in security logger handled event, so estimated at half a week.
SSO is critical system, so it must be tested throughly with extra care.",B
JBEAP-5152,1,0.79,4,It should not take weeks to enable this feature. It will take come time to test this feature to verify that it works correctly.,B
ENTMQCL-923,1,0.74,1,"It's just a stop in a function, it will take 10 minutes to complete, it's easy. It's just a java function. The developper just need to change a stack of execution",B
ENTMQCL-923,1,0.74,40,no,D
ENTMQCL-923,1,0.74,1,We can fix it by rebooting the server.,D
ENTMQCL-923,1,0.74,20,"We would need a day or so to id the problem, a half a day to set up a plan and then execute.",A
ENTMQCL-923,1,0.74,8,"I believe this issue can be resolved in a day, probably less. I would need to look at the code first to confirm.",B
ENTMQCL-923,1,0.74,20,thank,D
ENTMQCL-923,1,0.74,8,"It's a connectivity/broken link type of issue. You would get the system administrators to trace the issue and repair the link. A day may be too generous or not quite enough ( 2 days max ). Dependent on how fast they( system admins ) can trace it. If its a customer facing issue, it tends to be pretty quick!",B
ENTMQCL-923,1,0.74,40,that url is searched wrong,D
ENTMQCL-923,1,0.74,4,"A few settings changes should solve the issue. Since the error is based on sasl failure, it won’t require too in depth of a dive into the code",B
ENTMQCL-923,1,0.74,20,To me this is redirection to fail-over URI and fail-over URI is not configured properly. By pointing to the correct working fail-over server. The fail-over server in the list must be identical in configuration and testing all this will take 2-3 days to setup properly,B
ENTMQCL-923,2,0.83,20,"At max this will require some minor code changes to stop the re connection attempts on non-temporary fail-over, but still set up and testing will take some time.",B
ENTMQCL-923,2,0.83,8,A team member could check for the failure. It would probably take two to four lines of code to check for the return value and stop executing.,B
ENTMQCL-923,2,0.83,20,"It will take one day to write the unit and coverage tests to verify the desired functionality. The second day, the implementation can be completed. About half to a full day will be needed to fix any bugs and add more test cases.",B
ENTMQCL-923,2,0.83,20,"I suspect that the issue may in fact have a very simple fix solved by ensuring that basic settings are correctly assigned. However, if nothing is wrong in the settings or altering them does not change the outcome, it will take more than a day to correctly locate and identify the issue, as it is most likely that the URI is not submitting the appropriate data string to the SASL.",B
ENTMQCL-923,2,0.83,40,I think a day of troubleshooting with the code should be enough to address the issue as it seems to be an issue with the loop to attempt to reconnect.,C
ENTMQCL-923,2,0.83,8,The sasl failure does not pose such a threat to your time that it would take over a day in settings changes. It really just comes down to who is working on it and whether they have a history in sasl failure.,B
BXMSDOC-397,1,0.67,1,"Looking into this problem on JBoss Dev website, I was able to find a suggestion for fixing this. It seems that there is a forward slash to the path that needs to be removed.",C
BXMSDOC-397,1,0.67,8,"This seemed to be a file missing issue, can be fixed once the resource is identified. If the said resource does not exist at all in the system then more than a day might be required. Might be a name mismatch ( a wild guess )",B
BXMSDOC-397,1,0.67,40,"Based on the error messages, the issue appears to be related to incorrect config file or path. I am not familiar with this technology but 1 week should be sufficient to research and fix the issue.",C
BXMSDOC-397,1,0.67,1,I believe this will take 1 hour. The issue comments indicate the problem is with a photo. It sounds like all that needs to be done is to remove the photo or upload a new photo with the same name but a different image.,A
BXMSDOC-397,1,0.67,40,A new rest method may need to be implemented which responds to the expected endpoint.,B
BXMSDOC-397,1,0.67,-1,nice,D
BXMSDOC-397,1,0.67,8,If deployment fails it may take about a whole day and if it runs fine then about half a day.,B
BXMSDOC-397,1,0.67,80,No well defined solution so even that estimate may be too soon. Once the solution is defined half a day.,D
BXMSDOC-397,1,0.67,4,"This looks like a documentation issue, which shouldn't take long at all, maybe just delete a sentence or paragraph. I put half a day just to be sure, since it seems multiple teams are involved.",B
BXMSDOC-397,2,0.79,20,"This looks like an attempt to release an updated software version. The system is producing a series of error codes and warning message which an experienced developer should understand. Something is missing at the specified location (The deployment package). There is insufficient information to identify whether this a simple fix, or whether more extensive work is needed, this might depend on the size of package and the amount of code to be verified.",B
BXMSDOC-397,2,0.79,40,A new rest service needs to be implemented which listens to the desired endpoint.,B
BXMSDOC-397,2,0.79,8,i think its an easy fix ( file imported incorrectly / incorrect naming ) not truly sure but to be safe i would ssay a day. might have more underlying issues.,B
BXMSDOC-397,2,0.79,8,It appears to be merely a file or a simple code issue. I notice it mentioned character length being too long. That should be a fairly easy code fix. I estimate a day to allow for the code change and UAT to be performed and any defects sent back for resolution.,B
BXMSDOC-397,2,0.79,20,NICE,D
BXMSDOC-397,2,0.79,8,"the issue has been peer reviewed already.Should not be a major problem, but rather something small the submitter and the reviewer missed",C
BXMSDOC-397,2,0.79,8,"I think the issue can be solved with just a few modifications, It shouldnt be more than a days worth of work. One of the others described it as a documentation error and I think that describes it best which wont be a terribly hard fix",C
BXMSDOC-397,2,0.79,20,Seems to me that issue can be addressed in 1 to 2 days. But to be in the safe side its better to keep a buffer and time for testing and make it half a week,B
BXMSDOC-397,2,0.79,8,"This seems to be only a documentation issue with maybe some lines of code having to be added, but likely not. There is a missing file issue, so looking on the server side for that file having been misplaced might solve the issue itself.",B
AEROGEAR-2174,1,0.5,80,None,D
AEROGEAR-2174,1,0.5,20,NO,D
AEROGEAR-2174,1,0.5,-1,"It's a whole project, not an issue, it will take a lot of time to make this, this is something big",B
AEROGEAR-2174,1,0.5,80,"We only need a basic interface and we do not need a high level of abstraction or even the *most* correct abstraction, just something to get the ball rolling in this direction. While we say basic, it's still something new to introduce to our system so we should take the proper precautions and first inspect what details should be considered.",B
AEROGEAR-2174,1,0.5,-1,This effort would take about 3 weeks. 1 week will be used to detail out the design in terms of integrations and 2 weeks of development and testing effort.,B
AEROGEAR-2174,1,0.5,8,Writing the interface is straightforward an almost done in the gist (however there is a typo 'Secutiry' for 'Security'). A concrete implementation of one security test case will take the rest of the day-,B
AEROGEAR-2174,1,0.5,8,This looks pretty simple. Assuming the rest of the testing framework is already in place it should only take a few hours. Added some extra time for padding.,B
AEROGEAR-2174,2,0.83,8,"This involves implementing a framework to perform security checks , complete with interfaces and concrete classes though not much of implementation in it (one test case maybe) should be simple enough.",B
AEROGEAR-2174,2,0.83,8,"I agree with the others, it won't take long to implement the interface, so most of the day would involve creating, testing, and refining some actual tests.",B
AEROGEAR-2174,2,0.83,20,I JUST TRY TO SOLVE THIS,D
AEROGEAR-2174,2,0.83,8,This is fairly straightforward. Just implementing an idea that another group has already implemented in another language. This should be maybe a day's work including all of the testing.,B
AEROGEAR-2174,2,0.83,20,ensuring each class get converted correctly will take sometime,B
AEROGEAR-2174,2,0.83,8,Java application program interface (API),D
AEROGEAR-2174,2,0.83,8,VERY NICE,D
AEROGEAR-2174,2,0.83,20,good,D
AEROGEAR-2174,2,0.83,20,Writing and interface may be tricky errors rise in this case 3 interfaces need to be written and this might take more than one day maybe 2 or 3 to make sure all the coding is correct and the interface is working as expected.,B
BEAM-7542,1,0.71,4,Data type casting problem. Probably a misunderstanding of accepted class parameters.,D
BEAM-7542,1,0.71,8,"It's a typecast problem, one developper can fix it just by thinking about the types and re writing the functions",C
BEAM-7542,1,0.71,20,no,D
BEAM-7542,1,0.71,8,It's not uncommon for a software engineer to spend a whole day fixing a bug like this one.,C
